Data_ID,Year,Month,Utility_Number,Name,State,Ownership,Status,RES_Rev,RES_Sal,RES_Cus,COM_Rev,COM_Sal,COM_Cus,IND_Rev,IND_Sal,IND_Cus,TRAN_Rev,TRAN_Sal,TRAN_Cus,TOT_Rev,TOT_Sal,TOT_Cus
1,2018,1,0,Adjustment 2018,AK,,Final,"4,869.525","20,696.734","24,012","7,102.539","27,384.881","10,379","2,397.534","10,527.825",570,0.000,0.000,0,"14,370","58,609","34,961"
2,2018,1,213,Alaska Electric Light&Power Co,AK,Investor Owned,Final,"2,242.584","17,133.499","14,653","1,194.650","11,162.583","2,300","1,527.634","11,893.696",134,0.000,0.000,0,"4,965","40,190","17,087"
3,2018,1,219,Alaska Power and Telephone Co,AK,Investor Owned,Final,790.691,"2,609.372","5,478",879.942,"3,301.148","2,336",0.000,0.000,0,0.000,0.000,0,"1,671","5,911","7,814"
4,2018,1,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,Final,"1,923.295","4,131.686","8,191","2,770.253","7,094.061","3,265",0.000,0.000,0,0.000,0.000,0,"4,694","11,226","11,456"
5,2018,1,599,Anchorage Municipal Light and Power,AK,Municipal,Final,"2,367.931","12,833.577","24,593","10,691.367","74,730.499","6,425",0.000,0.000,0,0.000,0.000,0,"13,059","87,564","31,018"
6,2018,1,3522,Chugach Electric Assn Inc,AK,Cooperative,Final,"10,088.000","50,431.000","71,501","8,286.000","50,475.000","9,581",632.000,"4,252.000",7,0.000,0.000,0,"19,006","105,158","81,089"
7,2018,1,7353,Golden Valley Elec Assn Inc,AK,Cooperative,Final,"7,557.553","28,979.213","39,121","2,951.439","11,932.428","6,568","13,195.761","69,123.083",521,0.000,0.000,0,"23,705","110,035","46,210"
8,2018,1,10210,Ketchikan Public Utilities,AK,Municipal,Final,853.152,"8,098.825","6,488",650.421,"6,675.840","1,319",147.068,"1,676.005",17,0.000,0.000,0,"1,651","16,451","7,824"
9,2018,1,10433,Kodiak Electric Assn Inc,AK,Cooperative,Final,659.000,"3,843.000","4,791",352.000,"2,105.000","1,034",821.000,"5,281.000",106,0.000,0.000,0,"1,832","11,229","5,931"
10,2018,1,10451,Kotzebue Electric Assn Inc,AK,Cooperative,Final,270.992,719.314,"1,175",367.936,"1,053.166",113,0.000,0.000,0,0.000,0.000,0,639,"1,772","1,288"
11,2018,1,11824,Matanuska Electric Assn Inc,AK,Cooperative,Final,"9,597.233","46,408.756","58,302","4,757.293","26,246.580","5,988",0.000,0.000,0,0.000,0.000,0,"14,355","72,655","64,290"
12,2018,1,19277,TDX North Slope Generating Co,AK,Investor Owned,Final,0.000,0.000,0,"1,368.480","7,202.240",164,0.000,0.000,0,0.000,0.000,0,"1,368","7,202",164
13,2018,1,19558,Homer Electric Assn Inc,AK,Cooperative,Final,"4,536.934","16,748.289","27,446","3,614.291","15,042.928","4,076","1,464.480","13,778.505",27,0.000,0.000,0,"9,616","45,570","31,549"
14,2018,1,88888,Total EPM,AK,,Final,"45,756.890","212,633.265","285,751","44,986.611","244,406.354","53,548","20,185.477","116,532.114","1,382",0.000,0.000,0,"110,929","573,572","340,681"
15,2018,1,0,Adjustment 2018,AL,,Final,"119,994.413","1,096,250.631","696,098","51,353.349","468,353.514","126,874","21,134.060","294,534.395","1,058",0.000,0.000,0,"192,482","1,859,139","824,030"
16,2018,1,195,Alabama Power Co,AL,Investor Owned,Final,"261,716.000","2,150,276.000","1,268,837","146,316.000","1,245,179.000","200,288","121,887.000","1,924,425.000","6,156",0.000,0.000,0,"529,919","5,319,880","1,475,281"
17,2018,1,4958,Decatur Utilities,AL,Municipal,Final,"3,883.000","41,175.000","22,527","2,709.000","27,451.000","4,029","2,304.000","44,296.000",12,0.000,0.000,0,"8,896","112,922","26,568"
18,2018,1,6422,City of Florence - (AL),AL,Municipal,Final,"7,866.000","81,675.000","40,294","4,158.000","39,798.000","8,968",596.000,"9,660.000",8,0.000,0.000,0,"12,620","131,133","49,270"
19,2018,1,9094,City of Huntsville - (AL),AL,Municipal,Final,"31,737.000","321,112.000","161,259","17,406.000","179,716.000","21,878","2,798.000","43,204.000",30,0.000,0.000,0,"51,941","544,032","183,167"
20,2018,1,9739,Joe Wheeler Elec Member Corp,AL,Cooperative,Final,"7,134.000","64,362.000","34,993","2,947.000","23,672.000","8,441","3,685.000","68,853.000",21,0.000,0.000,0,"13,766","156,887","43,455"
21,2018,1,17252,Singing River Elec Cooperative,AL,Cooperative,Final,60.175,533.804,316,5.644,50.940,15,0.000,0.000,0,0.000,0.000,0,66,585,331
22,2018,1,18642,Tennessee Valley Authority,AL,Federal,Final,0.000,0.000,0,"2,419.000","34,600.000",1,"15,818.000","412,282.000",9,0.000,0.000,0,"18,237","446,882",10
23,2018,1,88888,Total EPM,AL,,Final,"432,390.588","3,755,384.435","2,224,324","227,313.993","2,018,820.454","370,494","168,222.060","2,797,254.395","7,294",0.000,0.000,0,"827,927","8,571,459","2,602,112"
24,2018,1,0,Adjustment 2018,AR,,Final,"52,283.208","562,729.408","376,139","19,466.246","219,326.660","50,445","17,297.920","236,445.034","8,965",-0.005,0.028,0,"89,047","1,018,501","435,549"
25,2018,1,814,Entergy Arkansas LLC,AR,Investor Owned,Final,"89,373.820","913,724.439","592,369","42,936.595","498,653.403","94,784","37,269.445","604,633.609","23,722",1.175,11.040,1,"169,581","2,017,022","710,876"
26,2018,1,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,Final,"8,510.601","82,074.630","51,152","1,344.672","13,237.659","3,800","1,147.444","20,057.508",31,0.000,0.000,0,"11,003","115,370","54,983"
